Timestamp,Participant_ID,Round,Period,Page,Action,Field,Value
2025-03-21T05:29:27.029123,1,2,2,VoterPage,Voted,vote,True
2025-03-21T05:29:27.689177,2,2,2,VoterPage,Voted,vote,True
2025-03-21T05:29:28.645344,3,2,2,VoterPage,Voted,vote,True
2025-03-21T05:29:48.325933,1,3,3,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:29:48.326076,1,3,3,ProposerPage,Submitted Proposal,s2,0
2025-03-21T05:29:48.326104,1,3,3,ProposerPage,Submitted Proposal,s3,20
2025-03-21T05:29:49.162855,2,3,3,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:29:49.162948,2,3,3,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:29:49.162969,2,3,3,ProposerPage,Submitted Proposal,s3,10
2025-03-21T05:29:49.954376,3,3,3,ProposerPage,Submitted Proposal,s1,15
2025-03-21T05:29:49.954463,3,3,3,ProposerPage,Submitted Proposal,s2,15
2025-03-21T05:29:49.954486,3,3,3,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:29:56.466642,1,3,3,VoterPage,Voted,vote,True
2025-03-21T05:29:57.370896,2,3,3,VoterPage,Voted,vote,True
2025-03-21T05:29:58.179576,3,3,3,VoterPage,Voted,vote,False
2025-03-21T05:30:28.335570,1,4,4,ProposerPage,Submitted Proposal,s1,0
2025-03-21T05:30:28.335828,1,4,4,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:30:28.335867,1,4,4,ProposerPage,Submitted Proposal,s3,20
2025-03-21T05:30:29.742182,2,4,4,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:30:29.742301,2,4,4,ProposerPage,Submitted Proposal,s2,20
2025-03-21T05:30:29.742323,2,4,4,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:30:34.057109,3,4,4,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:30:34.057213,3,4,4,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:30:34.057237,3,4,4,ProposerPage,Submitted Proposal,s3,10
2025-03-21T05:30:43.183186,1,4,4,VoterPage,Voted,vote,True
2025-03-21T05:30:44.458473,2,4,4,VoterPage,Voted,vote,False
2025-03-21T05:30:45.468460,3,4,4,VoterPage,Voted,vote,True
2025-03-21T05:31:13.124501,1,5,5,ProposerPage,Submitted Proposal,s1,12
2025-03-21T05:31:13.124670,1,5,5,ProposerPage,Submitted Proposal,s2,8
2025-03-21T05:31:13.124701,1,5,5,ProposerPage,Submitted Proposal,s3,10
2025-03-21T05:31:14.106672,2,5,5,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:31:14.106807,2,5,5,ProposerPage,Submitted Proposal,s2,15
2025-03-21T05:31:14.106846,2,5,5,ProposerPage,Submitted Proposal,s3,5
2025-03-21T05:31:14.913537,3,5,5,ProposerPage,Submitted Proposal,s1,0
2025-03-21T05:31:14.913615,3,5,5,ProposerPage,Submitted Proposal,s2,0
2025-03-21T05:31:14.913636,3,5,5,ProposerPage,Submitted Proposal,s3,30
2025-03-21T05:31:21.208541,1,5,5,VoterPage,Voted,vote,True
2025-03-21T05:31:22.158294,2,5,5,VoterPage,Voted,vote,True
2025-03-21T05:31:22.987306,3,5,5,VoterPage,Voted,vote,True
