SessionID,ParticipantCode,FinalPageVisited,GroupID,ID_in_Group,Treatment,Round,SubgroupID,ID_in_Subgroup,S1,S2,S3,SelfProposal,Selected_Proposal,Vote,Approved,Num_of_Approvals,Earnings,CompletionCode
24,usgmbo0a,SyncBottom,6,3,Baseline,1,1.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
24,usgmbo0a,SyncBottom,6,3,Baseline,2,1.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,10.0,
24,usgmbo0a,SyncBottom,6,3,Baseline,3,,,,,,,{},0,0,0,0.0,
25,9lggxshg,Part2,37,9,Baseline,1,1.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
25,9lggxshg,Part2,37,9,Baseline,2,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
25,9lggxshg,Part2,37,9,Baseline,3,3.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
26,549uysbt,Part2,46,6,Priming,1,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 0, ""s3"": 30}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",0,1,3,0.0,
26,549uysbt,Part2,46,6,Priming,2,2.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
26,549uysbt,Part2,46,6,Priming,3,2.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 8, ""s2"": 15, ""s3"": 7}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
27,dgig9acz,Party,,27,Baseline,1,,,,,,,{},0,0,0,0.0,
27,dgig9acz,Party,,27,Baseline,2,,,,,,,{},0,0,0,0.0,
27,dgig9acz,Party,,27,Baseline,3,,,,,,,{},0,0,0,0.0,
28,3f43r9to,SyncBottom,6,6,Baseline,1,2.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
28,3f43r9to,SyncBottom,6,6,Baseline,2,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,10.0,
28,3f43r9to,SyncBottom,6,6,Baseline,3,,,,,,,{},0,0,0,0.0,
29,gnk4jaqq,Part1,37,8,Baseline,1,1.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
29,gnk4jaqq,Part1,37,8,Baseline,2,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
29,gnk4jaqq,Part1,37,8,Baseline,3,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
30,3tyuy6cs,Part3,37,7,Baseline,1,3.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
30,3tyuy6cs,Part3,37,7,Baseline,2,2.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
30,3tyuy6cs,Part3,37,7,Baseline,3,3.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
31,ncfy3nc6,WelcomePage,,31,Baseline,1,,,,,,,{},0,0,0,0.0,
31,ncfy3nc6,WelcomePage,,31,Baseline,2,,,,,,,{},0,0,0,0.0,
31,ncfy3nc6,WelcomePage,,31,Baseline,3,,,,,,,{},0,0,0,0.0,
